,class
4516,e
49615,e
38098,p
49004,e
24830,e
18695,p
44977,p
59600,p
26475,p
3486,e
25000,e
23452,p
5041,e
59460,p
7137,p
36172,e
21490,e
29132,p
9739,p
47707,p
4835,e
58551,e
49291,e
54647,e
60877,p
43480,e
32596,p
14613,e
28130,p
51374,e
54474,e
27243,p
10660,p
6145,p
15186,e
50137,p
48519,e
9733,p
41674,p
5914,e
34981,e
18572,p
54225,p
30570,e
709,p
50631,e
53132,e
30917,p
50444,p
35481,p
47743,p
10342,e
14318,e
45573,e
39979,p
2404,p
10123,p
52820,e
24290,e
2793,e
2336,p
11084,p
2684,e
3186,e
39182,p
57386,p
51288,e
60015,p
12199,p
8577,e
19875,p
5475,e
22933,p
54496,e
4482,e
31508,e
27701,p
52753,e
33130,p
494,p
9889,p
55004,e
10986,p
17664,e
43096,p
49308,e
44672,p
3491,e
49552,e
47814,p
38436,p
2947,e
51851,e
8981,p
36592,p
8508,e
31161,e
6380,e
2187,p
58779,p
43272,p
39573,p
43992,e
37693,p
13164,p
15267,e
34470,p
2639,e
5717,e
60665,e
14871,e
28811,p
25918,p
27514,p
46439,e
43602,e
29739,e
14983,e
39473,p
18123,e
49723,e
1595,p
60295,p
5387,e
3657,p
39499,p
39794,p
49497,e
41546,p
57308,p
54256,p
29884,e
60536,e
5029,e
31377,e
57886,p
46093,e
2069,e
29833,e
59291,p
42926,e
55016,e
19560,p
12732,p
47443,p
9464,e
17305,e
33114,p
55460,e
28152,p
3183,e
29998,e
16179,e
55812,e
57748,p
34767,p
59002,p
1430,p
30315,p
14949,e
57443,p
13042,p
30747,p
25335,e
24553,e
53724,p
37742,p
38440,p
31034,p
47968,p
2372,p
50330,p
42835,e
13098,p
32241,p
18793,e
56744,p
42709,e
3066,e
16662,e
24471,e
53472,p
20924,p
43525,e
30246,p
4646,e
22748,p
14432,e
46459,e
31790,p
45009,p
45759,e
11224,p
2102,e
45767,e
8978,p
18509,p
30674,e
54104,p
45320,e
51459,e
41963,p
42463,e
42163,e
5763,e
48594,e
49399,e
44728,p
13124,p
6209,p
40203,p
18839,e
28094,p
18637,p
22208,e
25281,e
36699,p
23439,p
39176,p
23738,p
30290,p
36510,p
10939,p
40211,p
17580,e
0,p
29098,p
9377,e
5976,e
13470,p
32890,p
1935,e
34643,p
9289,e
59559,p
49452,e
49959,p
16041,e
21610,e
24615,e
34697,p
34737,p
18404,p
10308,e
9932,p
18008,e
34224,p
2500,e
12327,p
40279,p
35556,p
31208,e
34253,p
15298,e
29257,p
43020,e
30544,e
12323,p
26966,e
49794,p
49502,e
24535,e
34276,p
24477,e
14415,e
36259,e
45466,e
13372,p
52411,e
41783,p
45113,p
21451,e
60892,p
33569,e
25232,e
18892,e
24438,e
19598,p
17525,e
658,p
15566,p
30266,p
34249,p
35924,p
41871,p
35503,p
56150,p
58685,p
4061,p
21299,e
4228,p
36183,e
61045,p
23680,p
23154,p
3563,p
53571,p
39081,p
51326,e
24977,e
44179,p
14607,e
46810,e
25669,p
57150,e
54466,e
54301,p
23417,p
22984,p
51571,e
11470,e
39622,p
57130,e
25244,e
3078,e
38522,p
48378,e
49853,p
4799,e
15200,e
3600,p
60107,p
16018,e
7909,p
40646,p
1556,p
37470,p
23184,p
11027,p
18684,p
56817,p
13625,p
55202,e
5589,e
51346,e
13550,p
545,p
32700,p
2566,e
33313,p
44232,p
54942,e
56427,p
11310,e
49113,e
15323,e
7241,p
705,p
21564,e
41164,p
1723,p
43465,e
38483,p
3679,p
10477,e
18607,p
2383,p
3950,p
1576,p
44511,p
27487,p
52215,e
28668,p
13133,p
30531,e
14037,p
55863,e
812,p
3017,e
58573,e
52566,e
56867,e
31670,e
41511,p
18411,p
43407,p
7656,p
28691,p
17288,p
9358,e
7839,p
17640,e
37318,p
57171,e
13742,p
33833,e
40777,p
56211,p
35301,p
33176,p
27769,p
38199,p
53353,p
48733,e
33061,p
13023,p
59555,p
19135,p
30177,p
14445,e
17563,e
32564,p
37385,p
52426,e
49881,p
54566,e
37123,p
6022,p
52806,e
46897,e
48244,p
17582,e
19786,p
22321,e
16207,e
20969,p
8267,p
23463,p
40998,p
57258,p
53832,p
40698,p
28873,p
29589,p
1231,e
26905,e
59520,p
28319,p
18953,e
1158,e
11509,e
16245,e
8883,p
18908,e
16566,e
57637,p
22592,p
4466,e
58838,p
32973,p
60415,e
43050,e
58660,p
57073,e
56988,e
26427,e
43056,e
12751,p
6400,e
39361,p
59808,p
50952,p
46907,e
35995,p
2919,e
21250,e
12259,p
19268,p
60311,p
14522,e
25279,e
39071,p
786,p
14847,e
43606,e
40600,p
38553,p
30454,e
10360,e
32134,p
13506,p
41991,p
11192,p
38215,p
50662,e
32932,p
36668,p
15008,e
11095,p
50191,p
24107,e
34896,p
20824,e
32220,p
50314,p
52855,e
19186,p
56134,p
60760,p
48475,e
33415,p
7928,p
31560,e
878,p
39671,p
962,p
28938,p
37365,p
10820,p
55881,e
45030,p
16271,e
21167,p
15365,e
33143,p
6791,e
18494,p
7483,p
27312,p
50842,p
23344,p
39904,p
11136,p
38399,p
1817,e
38782,p
14247,e
52897,e
41229,p
57400,p
6202,p
1290,e
37650,p
41077,p
32005,p
48457,e
18019,e
35480,p
48214,p
4666,e
7560,p
24307,e
10842,p
43172,p
31166,e
24798,e
8405,p
24975,e
50859,p
49750,e
38305,p
58323,e
5275,e
29825,e
15012,e
21221,e
32481,p
3411,e
49841,p
54705,e
53405,p
2691,e
26269,e
54010,p
58680,p
44401,p
23684,p
39908,p
42924,e
25821,p
7309,p
47554,p
2988,e
34366,p
43026,e
38223,p
26396,e
32459,p
59888,p
21313,e
395,p
34140,p
28949,p
29269,p
33830,e
1825,e
49013,e
48110,p
12294,p
9240,e
43638,e
36710,p
6888,e
44941,p
49500,e
22066,e
27,p
1337,e
2923,e
24951,e
50095,p
5869,e
15516,e
56486,p
58635,p
14635,e
19670,p
30765,p
53287,e
50940,p
11700,e
610,p
14109,p
42942,e
19923,p
39748,p
43814,e
13317,p
58044,p
58901,p
50571,e
4361,e
39812,p
60149,p
11418,e
17506,e
54283,p
52320,e
26712,p
45467,e
57029,e
5513,e
29080,p
35276,e
14826,e
13041,p
50465,p
6627,e
53672,p
5893,e
33136,p
31802,p
46685,e
16475,e
42686,e
13008,p
357,p
2143,p
25310,e
47451,p
38211,p
23288,p
51474,e
27603,p
2646,e
37777,p
57798,p
34622,p
8899,p
16373,e
29868,e
55864,e
54032,p
47392,p
44333,p
6739,e
39946,p
27470,p
20668,e
60146,p
536,p
49198,e
1770,e
59751,p
28777,p
35113,e
23174,p
58969,p
13844,p
16098,e
51047,p
49812,p
28966,p
5994,e
33643,e
5235,e
59406,p
20015,p
15673,p
3,p
23843,p
11190,p
13989,p
44808,p
53924,p
37262,p
35151,e
5515,e
25343,e
6435,e
2548,e
5283,e
8047,p
22764,p
26940,e
33378,p
17198,p
49761,e
16047,e
14966,e
6805,e
14674,e
25067,e
50788,e
15113,e
60620,e
59801,p
23035,p
6865,e
8644,e
2714,e
29057,p
17092,p
39463,p
2755,e
34245,p
12057,p
8263,p
54245,p
30042,p
48711,e
30667,e
32121,p
57493,p
42533,e
40348,p
38798,p
24949,e
59968,p
42541,e
52501,e
475,p
37180,p
2145,p
39706,p
15215,e
59826,p
48699,e
4046,p
37614,p
16514,e
50246,p
25803,p
12782,p
31279,e
50971,p
12698,e
6611,e
40138,p
26285,e
23243,p
56140,p
11503,e
12377,e
34172,p
44075,e
56700,p
52545,e
59295,p
24948,e
45814,e
28763,p
13786,p
15010,e
3666,p
51129,p
47887,p
56042,e
53740,p
33336,p
40287,p
36141,e
14882,e
40004,p
38715,p
4943,e
45949,e
54299,p
12767,p
29912,e
49899,p
32279,p
59747,p
3116,e
46834,e
7616,p
50966,p
39097,p
4709,e
26897,e
39553,p
43930,e
19351,p
8222,p
18969,e
39044,p
60083,p
1115,e
54270,p
8388,p
12078,p
60621,e
3272,e
21560,e
7034,e
53502,p
4932,e
22147,e
38297,p
49431,e
24884,e
7706,p
14752,e
54622,e
35522,p
29395,p
47898,p
18171,e
42097,e
47839,p
38169,p
22589,e
28520,p
46963,p
18786,e
38873,p
51380,e
38339,p
40232,p
53409,p
15389,e
58722,p
3570,p
60348,p
40967,p
55183,e
45186,e
17505,e
14650,e
57452,p
42378,e
49266,e
21661,e
5974,e
50369,p
31896,p
44887,p
51561,e
27110,e
3121,e
16847,e
49095,e
32261,p
47398,p
28013,p
58009,p
38468,p
3601,p
36676,p
5335,e
44157,p
46109,e
13415,p
47473,p
41526,p
23646,p
7002,e
11094,p
6374,e
2712,e
26994,e
42766,e
1722,p
31392,e
49160,e
33699,e
57779,p
30337,p
34422,p
35949,p
19210,p
30807,p
24093,e
44141,p
7965,p
10389,e
43141,p
2490,e
10667,p
6927,e
41475,p
19138,p
54043,p
8681,e
22439,e
20684,e
45006,p
58101,p
46961,p
33675,e
57840,p
23714,p
41264,p
547,p
46335,e
28341,p
4856,e
59116,p
25684,p
28271,p
46280,e
12634,e
12778,p
5743,e
24886,e
41707,p
8078,p
8456,p
59080,p
33691,e
41125,p
46563,e
23422,p
43558,e
55841,e
14030,p
18400,p
10742,p
35024,e
51001,p
14458,e
7727,p
32901,p
51066,p
33928,p
44269,p
57473,p
36478,p
7186,p
35838,p
30381,e
4833,e
1460,p
47070,p
36860,p
28366,p
19842,p
55240,e
57882,p
59991,p
24283,e
34272,p
38260,p
14723,e
39462,p
40376,p
51030,p
19181,p
32206,p
42303,e
60047,p
15906,e
50802,e
3607,p
1893,e
13174,p
25457,p
33091,p
6809,e
40766,p
55039,e
12860,p
60994,p
41539,p
32305,p
59330,p
39829,p
31979,p
60354,p
25574,p
54388,e
22432,e
3710,p
53491,p
49637,e
18152,e
24262,e
31,p
59915,p
35416,p
22192,e
17696,e
50136,p
29113,p
57042,e
48804,e
8223,p
48874,e
25200,e
20976,p
772,p
8740,e
20538,e
19178,p
9928,p
31672,e
13275,p
1228,e
50517,e
44983,p
45026,p
57693,p
47493,p
14171,e
6503,e
32974,p
3052,e
58510,e
2172,p
8832,p
31869,p
57632,p
35723,p
46389,e
7415,p
24507,e
6325,p
6391,e
54398,e
22694,p
57248,p
33938,p
44776,p
38547,p
19884,p
463,p
23374,p
22793,p
21507,e
250,p
46053,e
53141,e
55378,e
22965,p
44788,p
32866,p
36002,p
11912,e
35762,p
14075,p
10303,e
19840,p
28510,p
27085,e
16215,e
39798,p
39589,p
36582,p
21898,e
27240,p
48854,e
48781,e
3506,e
15885,e
31710,e
30817,p
31434,e
24857,e
34763,p
56314,p
32569,p
6110,p
18868,e
838,p
35715,p
15738,p
24743,e
38913,p
20907,p
59249,p
37344,p
19307,p
18706,p
23218,p
60915,p
11859,e
57569,p
38043,p
38455,p
29791,e
24089,e
36128,e
54781,e
6849,e
18557,p
12169,p
23981,p
56252,p
53356,p
5215,e
45983,e
54956,e
6918,e
11567,e
15840,p
10400,e
59246,p
18442,p
21327,e
25728,p
29531,p
27048,e
47703,p
15640,p
25049,e
27226,p
8985,p
6950,e
31150,e
55732,e
46744,e
33870,e
34431,p
40438,p
55643,e
33322,p
18147,e
22416,e
265,p
19512,p
38092,p
22995,p
13177,p
52454,e
28782,p
25703,p
23943,p
23530,p
34797,p
32428,p
5830,e
3841,p
59003,p
29867,e
53494,p
25648,p
28877,p
50921,p
48787,e
25799,p
871,p
31768,e
55791,e
5818,e
38742,p
52257,e
6859,e
34014,p
49576,e
14255,e
44981,p
19041,e
47841,p
21875,e
43475,e
27482,p
17222,p
48236,p
15174,e
28100,p
14819,e
4093,p
25437,p
822,p
18600,p
4444,e
46733,e
14134,e
2133,p
59157,p
48167,p
40347,p
7446,p
40447,p
57009,e
33952,p
528,p
50577,e
8052,p
58213,p
25102,e
32147,p
44508,p
43009,e
25999,p
25673,p
43086,p
27179,e
3992,p
58644,p
59517,p
45160,p
60838,p
22659,p
48482,e
21691,e
22856,p
42403,e
43919,e
37380,p
30598,e
31493,e
53126,e
13910,p
35397,p
40236,p
22881,p
6586,e
2750,e
22904,p
29899,e
5372,e
17853,e
33920,p
46583,e
7660,p
3024,e
21780,e
29205,p
36833,p
55898,e
29689,e
25933,p
50555,e
16148,e
7516,p
14421,e
47536,p
48675,e
4110,p
32189,p
48640,e
13200,p
51458,e
28107,p
53610,p
25287,e
10581,e
21125,p
35663,p
4112,p
19964,p
42647,e
52985,e
41984,p
30056,p
35045,e
53987,p
26836,e
44279,p
9583,p
34178,p
20086,p
34616,p
103,p
37753,p
41160,p
39156,p
636,p
41685,p
27774,p
43646,e
56509,p
45920,e
5356,e
6494,e
13926,p
7234,p
57583,p
12138,p
57109,e
19613,p
38331,p
14185,e
40564,p
54363,e
2010,e
553,p
16320,e
33261,p
10415,e
5265,e
13460,p
24620,e
4855,e
35730,p
34672,p
39403,p
26225,e
3064,e
38922,p
18873,e
36512,p
57894,p
27303,p
43591,e
40182,p
4429,e
58725,p
50926,p
59405,p
34567,p
3471,e
50062,p
12548,e
6421,e
6356,e
39724,p
14488,e
54916,e
6632,e
20548,e
51401,e
22886,p
1269,e
27141,e
24498,e
9826,p
16431,e
26850,e
12107,p
25011,e
34218,p
27694,p
51774,e
30590,e
47365,p
2204,p
40158,p
7083,p
18209,e
32536,p
55906,e
13442,p
9073,p
3637,p
551,p
16836,e
15312,e
33516,p
12455,e
49277,e
8537,e
52314,e
30162,p
32482,p
19427,p
11716,e
52772,e
758,p
55249,e
7750,p
53192,e
56368,p
34976,e
40349,p
46865,e
1979,e
14009,p
38629,p
59079,p
50607,e
24517,e
15512,e
60743,p
24696,e
57928,p
31613,e
42440,e
3893,p
32581,p
12092,p
1419,p
11953,e
2869,e
8476,e
29950,e
12973,p
20069,p
27344,p
32504,p
40144,p
18501,p
49122,e
46805,e
9371,e
21963,e
18541,p
20285,e
34667,p
58732,p
44120,e
43090,p
59531,p
28010,p
15173,e
25898,p
17643,e
46922,e
57280,p
17370,e
13574,p
39351,p
52883,e
32813,p
60718,p
9369,e
45672,e
50156,p
55557,e
57480,p
16976,p
13642,p
2937,e
7933,p
38729,p
13304,p
26497,p
20813,e
26224,e
57077,e
10592,p
3177,e
46761,e
15187,e
52031,e
44622,p
27036,e
47644,p
49009,e
16857,e
44975,p
900,p
48423,e
13680,p
3693,p
28889,p
17699,e
52565,e
1013,p
52494,e
9949,p
15563,p
33193,p
46803,e
42189,e
23036,p
2567,e
50619,e
23583,p
13512,p
41183,p
30692,e
10644,p
24201,e
33081,p
41208,p
47840,p
8701,e
31444,e
25916,p
49836,p
44091,e
37913,p
3306,e
59344,p
20073,p
35460,p
21321,e
34345,p
20633,e
16552,e
2119,p
4637,e
41980,p
10478,e
9969,p
25550,p
18134,e
29706,e
31366,e
48682,e
50983,p
58126,p
1734,p
48635,e
48653,e
24165,e
42535,e
40768,p
727,p
18693,p
43426,e
43476,e
10799,p
20165,e
44356,p
22580,e
13452,p
45830,e
8689,e
39181,p
790,p
21950,e
16433,e
25724,p
20698,e
36817,p
24759,e
48638,e
39599,p
56273,p
11384,e
29131,p
3079,e
41768,p
36208,e
1841,e
16015,e
21669,e
21574,e
44640,p
42498,e
29676,e
30972,p
44656,p
22236,e
57576,p
24409,e
23045,p
33778,e
36902,p
23168,p
30620,e
4031,p
58862,p
6375,e
53709,p
7129,p
58013,p
13736,p
26500,p
2651,e
22774,p
57036,e
18665,p
56777,p
57778,p
419,p
5448,e
31331,e
23907,p
5242,e
12708,p
14757,e
33612,e
50937,p
53357,p
29151,p
3617,p
36219,e
12272,p
6646,e
59459,p
11390,e
8221,p
10635,p
27547,p
60026,p
51769,e
12482,e
53295,e
5836,e
22798,p
31655,e
14480,e
46828,e
54881,e
10055,p
11800,e
50029,p
46704,e
60747,p
54632,e
28113,p
50320,p
46872,e
19775,p
54390,e
25909,p
44409,p
9134,p
31203,e
6531,e
59495,p
40832,p
36263,e
15866,p
5083,e
34679,p
22905,p
40373,p
24327,e
20202,e
27672,p
43291,p
4325,e
49757,e
1005,p
54320,p
6690,e
11622,e
38470,p
31292,e
45168,p
15622,p
16282,e
42741,e
35435,p
40863,p
11731,e
1605,p
59571,p
50967,p
18673,p
28437,p
30715,p
60473,e
56748,p
39639,p
44679,p
19868,p
14560,e
4188,p
39588,p
39298,p
5702,e
11295,p
33884,e
38144,p
10896,p
38989,p
47897,p
50289,p
59621,p
7317,p
56723,p
24784,e
49532,e
22990,p
17693,e
11741,e
2777,e
7684,p
40622,p
29192,p
21526,e
23037,p
7478,p
39024,p
40732,p
24106,e
23765,p
7058,e
16677,e
45118,p
52429,e
50345,p
34689,p
15121,e
23658,p
14308,e
18326,e
37918,p
11738,e
26783,p
38886,p
23489,p
43299,p
51479,e
49289,e
43819,e
33644,e
14936,e
51727,e
58024,p
52295,e
46719,e
51523,e
1366,e
33885,e
6636,e
7830,p
1767,e
10032,p
1957,e
20551,e
22407,e
42408,e
22943,p
26452,e
60157,p
32406,p
9978,p
60725,p
3809,p
59355,p
42871,e
6743,e
58612,p
36634,p
57652,p
8514,e
13312,p
31868,p
51393,e
21680,e
51490,e
1068,e
59773,p
59109,p
34862,p
12360,e
3254,e
25946,p
58558,e
55997,e
38941,p
26540,p
52631,e
37863,p
38140,p
32012,p
9844,p
23009,p
21106,p
9206,e
46331,e
56204,p
29605,p
37774,p
15806,p
7051,e
16154,e
37200,p
26309,e
6538,e
39892,p
6500,e
22232,e
1134,e
56378,p
53313,p
10832,p
15338,e
1165,e
18162,e
12735,p
42060,e
42731,e
40659,p
47574,p
45081,p
11488,e
52107,e
34489,p
60602,e
12467,e
60385,e
14466,e
1469,p
47612,p
40648,p
30900,p
58180,p
29932,e
32265,p
52830,e
6477,e
25517,p
49084,e
60402,e
18559,p
60189,p
32701,p
37326,p
25060,e
43779,e
52803,e
58887,p
28755,p
52717,e
7719,p
36142,e
30427,e
3723,p
59049,p
22367,e
51833,e
34857,p
1214,e
34259,p
21778,e
7279,p
18720,e
19534,p
27551,p
31248,e
56067,e
10620,p
41420,p
21341,e
56240,p
18653,p
31975,p
14750,e
46477,e
1466,p
33683,e
32351,p
52114,e
51797,e
54284,p
25078,e
46518,e
4091,p
10846,p
50334,p
55145,e
33965,p
52136,e
27012,e
44628,p
51677,e
57653,p
37834,p
39580,p
26546,p
33551,e
47626,p
4512,e
48342,p
49404,e
38688,p
35958,p
33469,p
12547,e
20885,p
25549,p
46479,e
24546,e
13745,p
55832,e
29839,e
12499,e
33147,p
46564,e
30232,p
33394,p
31925,p
39663,p
19387,p
33354,p
3669,p
40500,p
27334,p
22654,p
47181,p
57450,p
43067,p
41604,p
26921,e
59136,p
55283,e
26517,p
11926,e
7953,p
15753,p
33899,p
36316,e
43668,e
20110,p
1677,p
7872,p
32811,p
43458,e
33527,p
56800,p
54977,e
14802,e
17571,e
214,p
59019,p
48490,e
17010,p
24584,e
50124,p
43423,e
13585,p
16194,e
39598,p
28826,p
28151,p
37524,p
7113,p
60573,e
36586,p
55374,e
31563,e
46251,e
21032,p
13199,p
56813,p
37314,p
3394,e
12809,p
50947,p
17591,e
10447,e
19723,p
28365,p
8475,e
44285,p
10542,e
27479,p
29712,e
49629,e
13250,p
55458,e
15942,e
60672,e
43916,e
8204,p
25527,p
18342,e
9823,p
11059,p
3202,e
16149,e
56515,p
28553,p
16300,e
2253,p
42176,e
27630,p
42001,p
1512,p
42888,e
25178,e
1618,p
59045,p
30106,p
25421,p
46622,e
60142,p
42207,e
32933,p
28196,p
23158,p
52465,e
20999,p
30843,p
30163,p
56728,p
19209,p
56181,p
52503,e
45422,e
27595,p
18601,p
53231,e
46426,e
31220,e
27116,e
20091,p
43110,p
24988,e
38051,p
15610,p
14005,p
14160,e
1925,e
25366,e
60967,p
6132,p
24169,e
24630,e
20280,e
31606,e
42094,e
26209,e
59724,p
1587,p
113,p
10584,e
58914,p
20066,p
15873,p
28628,p
58081,p
51142,p
36732,p
25762,p
26027,p
55911,e
30514,e
42638,e
21232,e
27269,p
57567,p
48893,e
2645,e
2430,p
23801,p
57476,p
56702,p
82,p
25315,e
60007,p
60998,p
8548,e
23880,p
34821,p
2392,p
51784,e
15949,e
53437,p
22384,e
50712,e
47541,p
21699,e
60733,p
17874,e
28707,p
53803,p
60291,p
59613,p
48304,p
48815,e
60263,p
53495,p
53294,e
33345,p
17731,e
31238,e
60115,p
4376,e
51621,e
8746,e
54372,e
42397,e
11603,e
45632,e
40210,p
23056,p
15416,e
5517,e
10797,p
14825,e
26090,p
58079,p
19018,e
44968,p
59377,p
14680,e
9132,p
34176,p
147,p
8356,p
5,p
9559,p
32971,p
27215,p
34582,p
18179,e
23266,p
8354,p
34703,p
14766,e
25111,e
58276,e
34027,p
53630,p
21643,e
10459,e
27791,p
2308,p
57423,p
14793,e
390,p
24336,e
54646,e
6424,e
20669,e
60580,e
12754,p
42374,e
52651,e
32035,p
8750,e
46489,e
26804,p
59778,p
43942,e
45673,e
58181,p
26119,p
59270,p
13109,p
52367,e
6528,e
48078,p
49297,e
49538,e
31933,p
22507,e
48081,p
20286,e
27962,p
10379,e
3745,p
28655,p
36799,p
8344,p
35073,e
22950,p
59835,p
25635,p
48561,e
52241,e
47881,p
51229,e
35491,p
55989,e
57749,p
18711,e
16327,e
33775,e
26719,p
32165,p
49679,e
18587,p
26032,p
55795,e
35224,e
6878,e
22765,p
8583,e
35765,p
30703,e
47621,p
60935,p
20448,e
43344,p
53755,p
32056,p
42202,e
21136,p
34775,p
42211,e
50179,p
3982,p
31394,e
34764,p
25212,e
55456,e
16515,e
13591,p
50181,p
25685,p
43036,e
57828,p
31134,e
24321,e
56703,p
8459,p
3743,p
14115,p
53336,p
59379,p
32101,p
52270,e
47528,p
35214,e
13957,p
11816,e
29843,e
53318,p
55189,e
1698,p
37565,p
58799,p
7825,p
51933,e
57612,p
49848,p
30920,p
25860,p
34919,p
2301,p
45575,e
55909,e
30685,e
56785,p
7189,p
27929,p
16746,e
57516,p
52230,e
47336,p
14672,e
